seq,timestamp_pub,timestamp_recv,latency_ms,message_size,duplicate,order_violation
1,1753175490.3171892,1753175490.7018168,384.6275806427002,65591,False,False
2,1753175490.3705275,1753175490.7775137,406.9862365722656,65591,False,False
3,1753175490.431571,1753175490.8526492,421.0782051086426,65590,False,False
4,1753175490.4899554,1753175490.8538663,363.9109134674072,65591,False,False
5,1753175490.5520158,1753175490.903879,351.86314582824707,65591,False,False
6,1753175490.609611,1753175491.0044382,394.82712745666504,65590,False,False
7,1753175490.6722457,1753175491.1076534,435.4076385498047,65591,False,False
8,1753175490.73445,1753175491.205723,471.27294540405273,65589,False,False
9,1753175490.7955496,1753175491.3082612,512.7115249633789,65591,False,False
10,1753175490.8590462,1753175491.4082694,549.2231845855713,65592,False,False
11,1753175490.9213483,1753175491.5091245,587.7761840820312,65592,False,False
12,1753175490.9775374,1753175491.6102362,632.6987743377686,65592,False,False
13,1753175491.0370207,1753175491.7111785,674.1578578948975,65592,False,False
14,1753175491.0962248,1753175491.812947,716.7222499847412,65592,False,False
15,1753175491.1586041,1753175491.9155724,756.9682598114014,65592,False,False
16,1753175491.2198296,1753175492.0159585,796.1289882659912,65592,False,False
17,1753175491.2772493,1753175492.115042,837.7926349639893,65592,False,False
18,1753175491.3388467,1753175492.2168252,877.9785633087158,65592,False,False
19,1753175491.4010856,1753175492.317377,916.2914752960205,65592,False,False
20,1753175491.4588485,1753175492.4180555,959.2070579528809,65592,False,False
